Username,Top skill,Gaji/jam,Profil
prameswara                    ,"Excel, Data Entry, Data Processing, Web Search, Web Scraping",$25 USD per hour,"Hello,  My name is Galih, and I am the Excel, VBA Macro and Formula Expert you’ve been looking for here at Freelancer!  I have 10 years of experience with VBA Macro and Excel and have worked with over 400 clients in my time as a freelance professional. I’ve maintained a high review and rating while working with some..."
pebambang5                    ,"R Programming Language, Statistical Analysis, Machine Learning (ML), Data Science, Analytics",$30 USD per hour,"I am expert in making prediction models using R/Python programming. Experienced in educational projects such as analyzing student grades, creating application models that make it easy to determine variables that affect student grades. Make predictions in the business world using analysis using machine learning..."
 sswijaya                    ,"Web Scraping, Excel, Data Processing, Microsoft Access, PHP",$22 USD per hour,I am an experienced software engineer with more than 10 years in software development. I will do my best to help my clients.
qhairil                    ,"Data Entry, Data Processing, Excel, PDF, Web Search",$15 USD per hour,WordPress | Contentful | Joomla | Drupal | InDesign | VA | Google Sheet | CMS | Excel | Data Entry | Print on Demand | RedBubble | Merch by Amazon | Kajabi | E-Commerce |  The list keeps growing as I have the chance to manage a new role and become fluent with new tools.  It does not matter what the proper title of the...
ViraCute                    ,"Data Entry, Web Search, Data Processing, Excel, Web Scraping",$5 USD per hour,"I have worked with clients worldwide, handling various online tasks such as Data Entry, Research, Customer Service and Support, Email, and Live Chat Support. My skills include WordPress, product uploads, and listings in WooCommerce and Shopify.  I can assist you with:  ✅ Data Entry ✅ Web Scraping (Google Map, Yelp,..."
edi45                    ,"Arduino, Electronics, Microcontroller, C Programming, Serial Peripheral Interface (SPI)",$30 USD per hour,Professional Embedded System Engineer with 10 years of experience on hardware and embedded software development.  PCB Tools :  - Altium - KiCAD - Eagle - EasyEDA  Microcontroller :  - AVR - STM32 - ESP8266 / ESP32 - NXP - Texas Instrument  - Arduino - Raspberry / Banana / Orange Pi SBC  Wireless Communication - NFC...
hidayatidian                    ,"Article Rewriting, Article Writing, Content Writing, Internet Marketing, Social Media Marketing",$30 USD per hour,"Hello! I am a versatile individual who possesses both creativity and a keen attention to detail. I've had the pleasure of satisfying clients from various countries around the world, including the US, UK, UAE, Australia, Singapore, and many more, in areas ranging from graphic design to marketing research. Do you have..."
diperprise                    ,"Data Entry, Data Processing, Data Scraping, Database Administration, Email Marketing",$10 USD per hour,"""Tired of manual data entry? Let's automate the process and focus on what really matters: turning data into results. I'm your solution.""  Hi, my name is ilham. I'm from Indonesia. As a Data Entry & Marketing Support Officer at PT. DBL, I was responsible for collecting, processing, and analyzing prospect customer data...."
khanicha                    ,"Visual Basic, C# Programming, C++ Programming, Data Processing, C Programming",$35 USD per hour,Small Office Home Office Automation Specialist Located @ South East Asia. It is a groups of programmers which various skillsets
KreatoryDigital                    ,"WordPress, Website Design, Content Writing, Copywriting, SEO",$20 USD per hour,"As a highly skilled and experienced Freelancer with wide range of expertise around Digital Marketing, Content Writing, Graphic Design, and Wordpress Development. I have a strong track record of delivering successful projects for a wide range of clients.   With a background in Computer Science, I have developed a..."
khanicha                    ,"Visual Basic, C# Programming, C++ Programming, Data Processing, C Programming",$35 USD per hour,Small Office Home Office Automation Specialist Located @ South East Asia. It is a groups of programmers which various skillsets
KreatoryDigital                    ,"WordPress, Website Design, Content Writing, Copywriting, SEO",$20 USD per hour,"As a highly skilled and experienced Freelancer with wide range of expertise around Digital Marketing, Content Writing, Graphic Design, and Wordpress Development. I have a strong track record of delivering successful projects for a wide range of clients.   With a background in Computer Science, I have developed a..."
mfransiska14                    ,"Business Cards, Creative Design, Customer Service, Customer Support, Data Entry",$5 USD per hour,"Enthusiastic Data Entry Specialist with a year's experience, having a strong grasp of Excel and fast typing skills. I bring accuracy and efficiency, with an eagerness to contribute positively."
DimasNanda14                    ,"Bookkeeping, Business Analysis, Content Writing, Copywriting, Customer Support",$3 USD per hour,"I may newbie on this platform, but I bring over 3 years of experience in Analyze data with a passion for helping clients achieve their project goals."
melia60                    ,"Customer Service, Customer Support, Data Entry, Data Processing, Excel",$5 USD per hour,"I am bachelor of education with experiance in administration, and admin business. I have interest in administration, attention in detail  has becomes my forte, i'm an inquisitive personn that enjoy learning new things, i'm Detail oriented, well organized, empatik, adaptif"
dedycatedinc                    ,"C# Programming, HTML, Microsoft SQL Server, ASP.NET, JavaScript",$15 USD per hour,We have successfully delivered many projects in many different companies and clients. We have strong Programming and Management skills and always update our team with Research and Development of new technologies to strengthen my knowledge and skills.  Provides custom software development within the following areas of...
jonisetiadii3                    ,"Graphic Design, Logo Design, Photoshop, Photoshop Design, 3D Design",$5 USD per hour,"For prospective clients, I apologize in advance, I am still new to the world of freelancing, but I have been offline for almost 8 years doing all the needs of the world of printing, editing files, inputting data, screen printing t-shirts, making logos, and other related things, I really hope for the work offered by..."
pranoto290301                    ,"Data Analytics, Data Entry, Data Processing, Data Scraping, Database Administration",$5 USD per hour,"saya memiliki kecenderungan yang kuat terhadap ketelitian dan keakuratan dalam pekerjaan saya. Saya memiliki kemampuan yang baik dalam mengelola waktu dan tugas dengan efisien, serta mampu bekerja secara mandiri maupun dalam tim. Saya sangat terampil dalam menggunakan perangkat lunak dan memiliki pemahaman yang baik..."
ayu818                    ,"Article Rewriting, Bookkeeping, Customer Service, Customer Support, Data Entry",$5 USD per hour,"I have 12 years of experience working with various types of data, possessing data processing skills and customer support services. I have skills in various data processing tools that allow me to provide the best results for clients.  For the past 8 years, I have been working in the field of Human Resources, I am..."
prayogo803                    ,"Trading, Node.js, JavaScript, Vue.js, Amazon Web Services",$30 USD per hour,"1. Frontend Development: Highly skilled in React.js, Vue.js, Quasar, Material UI, Tailwind CSS, Bootstrap, and responsive design. Experienced with mobile app development frameworks such as React Native and Flutter for trading analysis apps. 2. Backend Development: Deep knowledge of Node.js and Express.js for..."
aasuryanegara7                    ,"Data Entry, Word, Indonesian Translator, Translation, Data Analytics",$50 USD per hour,"https://sdkreatif.biz.id  Profile Overview:  I am a versatile and highly skilled professional with a passion for creating exceptional websites. With a background in both web development and web design, I possess the technical expertise and creative flair needed to bring your digital projects to life. With more than 8..."
widyawulda                    ,"Book Writing, Content Writing, Creative Writing, Customer Service, Customer Support",$5 USD per hour,"I have been writing since 2012. I have 5 poetry anthologies with fellow writers. I'm also an experience as Admin General Officer, Tool and Cost Control for over 4 years. And now i'm working as Export-Import Specialist."
ardiyanto1                    ,"Background Removal, Copy Typing, Copywriting, Data Entry, Data Processing",$10 USD per hour,"Welcome to Ardiyanto Profil.  I am a diligent worker capable of adhering to set schedules. I possess a variety of skills that make me suitable for assisting you with tasks involving Excel, Word, PDF, data typing projects, Adobe Illustrator, and Adobe Photoshop. Additionally, I have around a decade of..."
